,X_coord,Y_coord,Ref_wind,Num_tot_turb,ID,Turb_num
323,459.2750784,-72.74202624,6.74213743,2,2_turbine_279_degrees_465.0_meters,1
324,0,0,7.41478968,2,2_turbine_280_degrees_465.0_meters,0
325,457.9356052,-80.74640262,6.92601395,2,2_turbine_280_degrees_465.0_meters,1
326,0,0,7.4194212,2,2_turbine_281_degrees_465.0_meters,0
327,456.4566403,-88.72618285,7.06059313,2,2_turbine_281_degrees_465.0_meters,1
328,0,0,7.42289734,2,2_turbine_282_degrees_465.0_meters,0
329,454.8386343,-96.67893623,7.1804347,2,2_turbine_282_degrees_465.0_meters,1
330,0,0,7.44557571,2,2_turbine_283_degrees_465.0_meters,0
331,453.0820801,-104.6022403,7.26930714,2,2_turbine_283_degrees_465.0_meters,1
332,0,0,7.44803143,2,2_turbine_284_degrees_465.0_meters,0
333,451.1875127,-112.4936815,7.35846424,2,2_turbine_284_degrees_465.0_meters,1
334,0,0,7.45624113,2,2_turbine_285_degrees_465.0_meters,0
335,449.1555092,-120.350856,7.40719414,2,2_turbine_285_degrees_465.0_meters,1
336,0,0,7.44871664,2,2_turbine_286_degrees_465.0_meters,0
337,446.9866886,-128.1713705,7.45458984,2,2_turbine_286_degrees_465.0_meters,1
338,0,0,7.47651815,2,2_turbine_287_degrees_465.0_meters,0
339,444.6817115,-135.9528427,7.47210121,2,2_turbine_287_degrees_465.0_meters,1
340,0,0,7.48494577,2,2_turbine_288_degrees_465.0_meters,0
341,442.2412801,-143.6929024,7.49553871,2,2_turbine_288_degrees_465.0_meters,1
342,0,0,7.47972727,2,2_turbine_289_degrees_465.0_meters,0
343,439.6661377,-151.3891918,7.50868988,2,2_turbine_289_degrees_465.0_meters,1
344,0,0,7.48390532,2,2_turbine_290_degrees_465.0_meters,0
345,436.9570687,-159.0393666,7.51325083,2,2_turbine_290_degrees_465.0_meters,1
346,0,0,7.4838624,2,2_turbine_291_degrees_465.0_meters,0
347,434.1148983,-166.6410965,7.51527119,2,2_turbine_291_degrees_465.0_meters,1
348,0,0,7.48597097,2,2_turbine_292_degrees_465.0_meters,0
349,431.1404924,-174.1920659,7.53126192,2,2_turbine_292_degrees_465.0_meters,1
350,0,0,7.4897933,2,2_turbine_293_degrees_465.0_meters,0
